# Version 1.5
# Software: Microsoft Windows Firewall
# Time: 2026-04-04 09:30:00
# Fields: date time action protocol src-ip dest-ip src-port dest-port size tcpflags tcpsyn tcpack tcpwin icmptype icmpcode info path
2026-04-04 09:30:15 DROP TCP 185.220.101.47 192.168.1.10 443 22 - - - - - - - - - SEND
2026-04-04 09:30:16 DROP TCP 185.220.101.47 192.168.1.10 443 22 - - - - - - - - - SEND
2026-04-04 09:30:17 ALLOW TCP 192.168.1.10 8.8.8.8 53 8080 - - - - - - - - - -
2026-04-04 09:30:18 DROP UDP 43.241.131.38 192.168.1.10 5060 123 - - - - - - - - - -
2026-04-04 09:30:19 ALLOW TCP 192.168.1.10 192.168.1.1 8080 443 - - - - - - - - - -
2026-04-04 09:30:20 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 09:30:21 ALLOW TCP 192.168.1.10 52.94.236.248 443 8080 - - - - - - - - - -
2026-04-04 09:30:22 DROP TCP 192.168.1.101 192.168.1.10 3389 22 - - - - - - - - - -
2026-04-04 09:30:23 ALLOW UDP 192.168.1.10 8.8.4.4 123 53 - - - - - - - - - -
2026-04-04 09:30:24 DROP TCP 43.241.131.38 192.168.1.10 80 22 - - - - - - - - - -
2026-04-04 09:30:25 ALLOW TCP 192.168.1.10 172.217.160.78 443 8080 - - - - - - - - - -
2026-04-04 09:30:26 DROP TCP 185.220.101.47 192.168.1.10 445 22 - - - - - - - - - -
2026-04-04 09:30:27 ALLOW UDP 192.168.1.10 192.168.1.1 67 53 - - - - - - - - - -
2026-04-04 09:30:28 DROP TCP 192.168.1.100 192.168.1.10 1433 22 - - - - - - - - - -
2026-04-04 09:30:29 ALLOW TCP 192.168.1.10 157.240.22.35 443 8080 - - - - - - - - - -
2026-04-04 09:30:30 DROP ICMP 43.241.131.38 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 09:30:31 ALLOW TCP 192.168.1.10 151.101.1.69 443 8080 - - - - - - - - - -
2026-04-04 09:30:32 DROP TCP 192.168.1.101 192.168.1.10 23 22 - - - - - - - - - -
2026-04-04 09:30:33 ALLOW UDP 192.168.1.10 8.8.8.8 53 123 - - - - - - - - - -
2026-04-04 09:30:34 DROP TCP 43.241.131.38 192.168.1.10 21 22 - - - - - - - - - -
2026-04-04 09:36:16 DROP UDP 192.168.1.101 192.168.1.10 53 5060 - - - - - - - - - -
